asteroid	/ˈæs.tər.ɔɪd/	noun [ C ]		one of many large rocks that circle the sun							output/1588410692-u10_nouns/1-asteroid-media-english-uk_pron-u-uka-ukass-ukassiz021.mp3
outer space	/ˌaʊ.tə ˈspeɪs/	noun [ U ]		the part of space that is very far away from Earth							output/1588410692-u10_nouns/19-outer-space-media-english-uk_pron-u-ukc-ukcld-ukcld01010.mp3
planet	/ˈplæn.ɪt/	noun [ C ]	B1	an extremely large, round mass of rock and metal, such as Earth, or of gas, such as Jupiter, that moves in a circular path around the sun or another star		(1) the planet Earth/Venus (2) Might there be intelligent life on other planets?					output/1588410692-u10_nouns/20-planet-media-english-uk_pron-u-ukp-ukpla-ukplain005.mp3
radiation	/ˌreɪ.diˈeɪ.ʃən/	noun [ U ]	C1	a form of energy that comes from a nuclear reaction and that can be very dangerous to health		 (1) Many servicemen suffered radiation sickness after the early atomic tests.					output/1588410692-u10_nouns/21-radiation-media-english-uk_pron-u-ukr-ukrad-ukradia006.mp3
radiation	/ˌreɪ.diˈeɪ.ʃən/	noun [ U ]		energy from heat or light that you cannot see		 (1) microwave/ultraviolet/electromagnetic radiation					output/1588410692-u10_nouns/21-radiation-media-english-uk_pron-u-ukr-ukrad-ukradia006.mp3
rocket	/ˈrɒk.ɪt/	noun (DEVICE)	B2 [ C ]	a large cylinder-shaped object that moves very fast by forcing out burning gases, used for space travel or as a weapon		(1) They launched a rocket to the planet Venus. (2) The rebels were firing anti-tank rockets.					output/1588410692-u10_nouns/22-rocket-media-english-uk_pron-u-ukr-ukrob-ukrobot009.mp3
rocket	/ˈrɒk.ɪt/	noun (DEVICE)	[ C ] (also skyrocket)	a type of firework that flies up into the air before exploding							output/1588410692-u10_nouns/22-rocket-media-english-uk_pron-u-ukr-ukrob-ukrobot009.mp3
rocket	/ˈrɒk.ɪt/	noun (PLANT)	[ U ] UK (US arugula)	a plant whose long green leaves are used in salads							output/1588410692-u10_nouns/22-rocket-media-english-uk_pron-u-ukr-ukrob-ukrobot009.mp3
rocket	/ˈrɒk.ɪt/	verb [ I often + adv/prep ] informal		to rise extremely quickly or make extremely quick progress towards success		(1) House prices in the north are rocketing (up). (2) Their team rocketed to the top of the League. (3) Sharon Stone rocketed to fame in the film "Basic Instinct".					output/1588410692-u10_nouns/22-rocket-media-english-uk_pron-u-ukr-ukrob-ukrobot009.mp3
satellite	/ˈsæt.əl.aɪt/	noun [C] (IN SPACE)	B2	a device sent up into space to travel around the earth, used for collecting information or communicating by radio, television, etc.		(1) The World Cup was transmitted around the world by satellite. (2) a spy/weather satellite (3) satellite television/TV					output/1588410692-u10_nouns/23-satellite-media-english-uk_pron-u-uks-uksat-uksatan005.mp3
satellite	/ˈsæt.əl.aɪt/	noun [C] (IN SPACE)		a natural object moving around a larger object in space		 (1) The moon is Earth's satellite.					output/1588410692-u10_nouns/23-satellite-media-english-uk_pron-u-uks-uksat-uksatan005.mp3
satellite	/ˈsæt.əl.aɪt/	noun [C] (COUNTRY)	(also satellite state)	a country controlled by or depending on a more powerful country					client state		output/1588410692-u10_nouns/23-satellite-media-english-uk_pron-u-uks-uksat-uksatan005.mp3
simulator	/ˈsɪm.jə.leɪ.tər/	noun [ C ]		a piece of equipment that is designed to represent real conditions, for example in an aircraft or spacecraft		 (1) People learning to fly often practise on a flight simulator.					output/1588410692-u10_nouns/24-simulator-media-english-uk_pron-u-uks-uksim-uksimil019.mp3
the solar system	/ˈsəʊ.lə ˌsɪs.təm/	noun [ S ]		the sun and the group of planets that move around it							output/1588410692-u10_nouns/25-the-solar-system-media-english-uk_pron-u-uka-uka35-uka35488.mp3
space	/speɪs/	noun (EMPTY PLACE)	A2 [ C or U ]	an empty area that is available to be used		(1) Is there any space for my clothes in that cupboard? (2) I need to make (some) space for Mark's things. (3) When the roads are wet, you've got to leave plenty of space between you and the car in front. (4) The blank space at the end of the form is for your name. (5) We found a parking space close to the museum.	cavity, chamber (SPACE) (specialized), gap (HOLE), hole (SPACE), hollow, pocket (GROUP/AREA), room (SPACE)				output/1588410692-u10_nouns/26-space-media-english-uk_pron-u-uks-uksou-uksouth022.mp3
space	/speɪs/	noun (EMPTY PLACE)	B2 [ U ]	the area around everything that exists, continuing in all directions		(1) He was absent-mindedly staring/gazing into space (= looking, but seeing nothing). (2) Virtual reality gives us artificial worlds to explore, outside normal space and time.					output/1588410692-u10_nouns/26-space-media-english-uk_pron-u-uks-uksou-uksouth022.mp3
space	/speɪs/	noun (EMPTY PLACE)	[ U ]	the distance between a football, rugby, etc. player and any opposing players		 (1) If you give quality players that much space, they will punish you.					output/1588410692-u10_nouns/26-space-media-english-uk_pron-u-uks-uksou-uksouth022.mp3
space	/speɪs/	noun (BEYOND EARTH)	B1 [ U ]	the empty area outside Earth's atmosphere, where the planets and the stars are		(1) space exploration/travel (2) a space rocket (3) Who was the first human being in space/the first to go into space?					output/1588410692-u10_nouns/26-space-media-english-uk_pron-u-uks-uksou-uksouth022.mp3
space	/speɪs/	verb [ T ]		to arrange things or people so that there is some distance or time between them		(1) That page looks badly spaced (= there is too much/too little distance between the lines or words). (2) The flowers were spaced (out) evenly (= planted at equal distances) beside the path. (3) If you're in financial difficulty, we're happy to let you space (out) your payments (= pay in smaller amounts over a longer period of time) over two years.					output/1588410692-u10_nouns/26-space-media-english-uk_pron-u-uks-uksou-uksouth022.mp3
spacecraft	/ˈspeɪs.krɑːft/	noun [ C ]		a vehicle used for travel in space		 (1) a manned/unmanned spacecraft (= with/without people inside)					output/1588410692-u10_nouns/27-spacecraft-media-english-uk_pron-u-uks-uksou-uksouth023.mp3
space shuttle	/ˈspeɪs ˌʃʌt.əl/	noun [ C usually singular ]		a vehicle in which people travel into space and back again, sometimes carrying a satellite or other equipment into orbit (= a curved path through space)							output/1588410692-u10_nouns/28-space-shuttle-media-english-uk_pron-u-ukc-ukcld-ukcld01748.mp3
space station	/ˈspeɪs ˌsteɪ.ʃən/	noun [ C ]		a vehicle in which people can travel round the earth, outside its atmosphere, doing scientific tests					space platform		output/1588410692-u10_nouns/29-space-station-media-english-uk_pron-u-uka-uka34-uka34965.mp3
surface	/ˈsɜː.fɪs/	noun (TOP)	B2 [ C ]	the outer or top part or layer of something		(1) Tropical rain forests used to cover ten percent of the earth's surface. (2) The marble has a smooth, shiny surface. (3) Neil Armstrong was the first person to set foot on the surface of the moon.					output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	noun (TOP)	[ C ]	the top layer of a field or track on which sports are played		 (1) The match will be played on an artificial/all-weather surface.					output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	noun (TOP)	[ C ]	the flat top part of a table, cupboard, etc.		(1) a work surface (2) Don't put anything wet on a polished surface, or it will leave a mark.					output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	noun (APPEARANCE)	B2 [ S ]	The surface of a situation or person is what they appear to be, or the features they have that are not hidden or difficult to see		(1) On the surface, this seems like a difficult problem, but in fact there's an easy solution to it. (2) Beneath/Below/Under the surface of contemporary West Indian life lurk memories of slavery. (3) Suddenly, all her anger came/rose to the surface (= became obvious).					output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	verb (TOP)	[ I ]	to rise to the surface of water		 (1) The submarine surfaced a few miles off the coast.					output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	verb (TOP)	[ T ]	to cover a road or other area with a hard surface							output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	verb (KNOWN)	[ I ]	If a feeling or information surfaces, it becomes known		(1) Doubts are beginning to surface about whether the right decision has been made. (2) A rumour has surfaced that the company is about to go out of business.					output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	verb (OUT OF BED)	[ I ] informal	to get out of bed		 (1) He never surfaces until at least 11.00 a.m. on a Sunday.					output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	adjective (TOP)		working or operating on the top of the land or sea, rather than under the land or sea, or by air							output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
surface	/ˈsɜː.fɪs/	adjective (APPEARANCE)	[ before noun ]	appearing in a particular way but not always showing the truth		 (1) his surface appearance of calm confidence					output/1588410692-u10_nouns/30-surface-media-english-uk_pron-u-uks-uksup-uksuppo025.mp3
universe	/ˈjuː.nɪ.vɜːs/	noun	B1 [ S ]	everything that exists, especially all physical matter, including all the stars, planets, galaxies, etc. in space		 (1) Is there intelligent life elsewhere in the universe?					output/1588410692-u10_nouns/31-universe-media-english-uk_pron-u-uku-ukuni-ukunins025.mp3
universe	/ˈjuː.nɪ.vɜːs/	noun	[ C ]	a universe that could be imagined to exist outside our own		 (1) Scientists have speculated about the possibility of parallel universes.					output/1588410692-u10_nouns/31-universe-media-english-uk_pron-u-uku-ukuni-ukunins025.mp3
universe	/ˈjuː.nɪ.vɜːs/	noun	[ S ]	the world, or the world that you are familiar with		(1) The characters in his novels inhabit a bleak and hopeless universe. (2) His family is his whole universe (= everything that is important to him).					output/1588410692-u10_nouns/31-universe-media-english-uk_pron-u-uku-ukuni-ukunins025.mp3
weightlessness	/ˈweɪt.ləs.nəs/	noun [ U ]		the state of having or appearing to have no weight; the fact of not being affected by gravity (= the force that makes things fall to the ground)		(1) The animals will be used to study the effects of weightlessness on the brain and nervous system. (2) After nearly five months of weightlessness, the first tenants of the international space station said they are eager to return to Earth.					output/1588410692-u10_nouns/32-weightlessness-media-english-uk_pron-c-cdo-cdo03-cdo0318ukweig1562.mp3
